,Year,Date,Police_Sta,Road,Address,City,State,Zip_Code,Time,Kind,Reason,Vehicle,Victim,Age,geometry,Zip_code,_Adress,x,y,year
122,2012.0,2012-08-08,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,Λεωφόρος Βουλιαγμένης & Ιασωνίδου,Ελληνικό,Αττική,,21:00 - 24:00,Παράσυρση Πεζού,Αίτια αναφερόμενα στους πεζούς,car,Πεζός,36-45,POINT Z (23.74788683810715 37.89214253235201 0),16777.0,,23.74788683810715,37.89214253235201,2012.0
123,2012.0,2012-08-09,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,ΝΕΟ Αθηνών - Πατρών,23ο χλμ Αθηνών Κορίνθου,Μάνδρα,Αττική,,13:00 - 17:00,Εκτροπή,Λοιπά αίτια αναφερόμενα σε οδηγούς,car,Οδηγός,46-55,POINT Z (23.52644186579954 38.05602121970355 0),19600.0,,23.52644186579954,38.05602121970355,2012.0
124,2012.0,2012-08-10,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,130 Καλλιρόης,Αθήνα,Αττική,,17:00 - 21:00,Εκτροπή,Υπερβολική ταχύτητα,car,Οδηγός,46-55,POINT Z (23.7147870231027 37.9641502332467 0),11741.0,,23.7147870231027,37.9641502332467,2012.0
125,2012.0,2012-08-11,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,117 Θηβών,Περιστέρι,Αττική,,07:00 - 09:00,Εκτροπή,Λοιπά αίτια αναφερόμενα σε οδηγούς,car,Επιβάτης,0-17,POINT Z (23.68821738962089 38.00998470922701 0),12136.0,,23.68821738962089,38.00998470922701,2012.0
126,2012.0,2012-08-13,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,91 Τζων Κέννεντυ,Περιστέρι,Αττική,,24:00 - 07:00,Πρόσκρουση,Υπερβολική ταχύτητα,motorcycle,Οδηγός,26-35,POINT Z (23.68425826730527 38.0062955301147 0),12136.0,,23.684258267305268,38.0062955301147,2012.0
127,2012.0,2012-08-13,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,20 Αφεντούλη & Πραξιτέλους,Πειραιάς,Αττική,,09:00 - 13:00,Παράσυρση Πεζού,Οδήγηση χωρίς σύνεση και προσοχή,car,Πεζός,55+,POINT Z (23.64305015034421 37.93577521165673 0),18536.0,,23.64305015034421,37.93577521165673,2012.0
128,2012.0,2012-08-15,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,51 Λεωφόρος Ποσειδώνος,Παλαιό Φάληρο,Αττική,,07:00 - 09:00,Παράσυρση Πεζού,Αίτια αναφερόμενα στους πεζούς,car,Πεζός,55+,POINT Z (23.69626964582756 37.92182816293945 0),17662.0,,23.696269645827556,37.92182816293945,2012.0
129,2012.0,2012-08-18,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Λοιπό Οδικό Δίκτυο,Αγία Μαρίνα,Αίγινα,Αττική,,09:00 - 13:00,Εκτροπή,Λοιπά αίτια αναφερόμενα σε οδηγούς,motorcycle,Οδηγός,55+,POINT Z (23.53663507055211 37.74590771616823 0),18010.0,,23.53663507055211,37.74590771616823,2012.0
130,2012.0,2012-08-18,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,375 Μεσογείων,Αγία Παρασκευή,Αττική,,17:00 - 21:00,Παράσυρση Πεζού,Αίτια αναφερόμενα στους πεζούς,car,Πεζός,55+,POINT Z (23.78710933832537 38.00078470225225 0),15561.0,,23.787109338325365,38.00078470225225,2012.0
131,2012.0,2012-08-20,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,25 Λεωφόρος Λαυρίου,Γλυκά Νερά,Αττική,,17:00 - 21:00,Σύγκρουση,Λοιπά αίτια αναφερόμενα σε οδηγούς,motorcycle,Οδηγός,0-17,POINT Z (23.84586135511751 38.00698628678776 0),15354.0,,23.845861355117506,38.006986286787765,2012.0
